holistic_essay_score,n,mean_p_ai_raw,mean_p_ai_raw_ci_low,mean_p_ai_raw_ci_high,mean_p_ai_word_count_controlled,mean_p_ai_word_count_controlled_ci_low,mean_p_ai_word_count_controlled_ci_high
1,1024,0.2388530933961341,0.2213166612528548,0.2571862480556222,0.06334721411113224,0.045543393314085426,0.08179743655058848
2,5590,0.1720121010367261,0.16592113290619914,0.1784763450610489,-0.00693191832891905,-0.013073608739587062,-0.00034396374646704185
3,7965,0.16886611089508752,0.16402630567710863,0.17355246427493742,-0.0019062584186246795,-0.006766786852442455,0.0026642834247957445
4,6208,0.1642633102262432,0.15899066524505248,0.16957358081347165,0.004893621314722428,-0.00038096994902281985,0.010180474687302132
5,3066,0.1329870096490174,0.12638007631973885,0.13955466673491054,-0.010185240884688595,-0.016805860145228158,-0.0036575664164465527
6,842,0.11424129922762472,0.10314304324058786,0.1256156866790273,-0.011979130708001646,-0.022954413783966312,-0.0007740309923435789
