task,n,tpr,tpr_ci_low,tpr_ci_high
Independent,466,0.7532188841201717,0.7124463519313304,0.7939914163090128
Text dependent,468,0.7008547008547008,0.6602564102564102,0.7435897435897436
(no task label),66,0.8636363636363636,0.7727272727272727,0.9393939393939394
