subset,n,fpr,fpr_ci_low,fpr_ci_high
ellipse_overall,6482,0.035482875655661834,0.031163221228016045,0.04011107682813946
ellipse_same_task_as_persuade,912,0.02412280701754386,0.01425438596491228,0.03401864035087717
ellipse_different_task,5570,0.03734290843806104,0.03231597845601436,0.042194793536804304
