cell,n,fpr,fpr_ci_low,fpr_ci_high
A_baseline_nonELL_trainprompts,16262,0.009777395154347559,0.008240068872217439,0.0113162587627598
B_ELL_trainprompts,618,0.016181229773462782,0.006472491909385114,0.02750809061488673
C_nonELL_heldoutprompts,6189,0.008402003554693812,0.006139925674583939,0.010664081434803683
D_ELL_heldoutprompts,1626,0.014760147601476014,0.00922509225092251,0.020910209102091022
