group,n,rate_before,rate_before_ci_low,rate_before_ci_high,rate_after,rate_after_ci_low,rate_after_ci_high,delta,delta_ci_low,delta_ci_high
AI (TPR),107,0.5233644859813084,0.42990654205607476,0.616822429906542,0.4953271028037383,0.40186915887850466,0.5981308411214953,-0.02803738317757004,-0.08411214953271029,0.03738317757009341
Human (FPR),493,0.3691683569979716,0.3286004056795132,0.4117647058823529,0.20081135902636918,0.1643002028397566,0.23935091277890466,-0.16835699797160245,-0.20486815415821502,-0.13585192697768766
