source,sentence_length_std,mean_sentence_length,type_token_ratio,mtld,transition_phrase_rate,paragraph_length_variance,punctuation_variety,contraction_rate,function_word_entropy
palm-text-bison1,0.45772637162777624,0.2253803934961216,0.5182100819997749,0.6241093723923877,1.4780259970647327,0.1164853757130381,0.9887921470539796,1.346665029305513,0.8245289275096432
kingki19_palm,0.19422231742454585,0.1268379952003901,0.4534540855576609,0.5201563029594285,1.097744924355872,0.15976464853826894,0.5433718088183798,0.3200807331658601,0.8089357323707955
cohere-command,0.25893737228811115,0.24545314925578984,0.6925195500481899,0.905866499287114,1.3534575015294463,0.3465714468816799,0.7680205272096959,1.2962628121477402,1.1081716504027344
NousResearch/Llama-2-7b-chat-hf,0.3949545828571309,0.1916639702415572,0.46645514861833237,1.0431356522154456,1.3943793169063428,0.484808784571407,0.9004739711423927,0.13694759317566263,0.6677561581525864
llama2_chat,0.24599679556998594,0.22638245397568227,0.5649958057832747,0.9276436544845521,1.396282796275319,0.13160191601335303,0.7356087306282724,3.362448141250558,0.8506101614572754
llama_70b_v1,0.2294133782532906,0.23855994162822128,0.5507459579467928,0.8538799627154793,1.2526749773419419,0.08660452444905471,0.8621745885540144,3.0487230269895953,0.8861317038379922
mistral7binstruct_v2,0.24266349479329904,0.19997767500531968,0.6226764591517788,0.7813326107111525,1.8905499432727935,0.1518649700865674,0.5769250488934233,1.0391621808675173,0.847157211359647
mistral7binstruct_v1,0.23874469540551838,0.16736484669770849,0.5302591267800286,0.6607955744807793,1.9325360889724266,0.2364672024390445,0.5340579764346659,0.4096671841157647,0.8087791099084392
falcon_180b_v1,0.21636606306165249,0.1927207756577272,0.6855141505015592,1.1125048024391089,1.3252761737076282,0.06444342902863923,0.6742041853875278,0.64309896921379,1.0351424878344857
radek_500,0.2636551235090835,0.10308718815682419,0.2796177376002454,0.9458667458796466,0.792794769978276,0.058747986916118614,0.6627720515644944,0.04190183855707097,0.5763038144777117
mistralai/Mistral-7B-Instruct-v0.1,0.2269427360341559,0.16631194211627956,0.6867512384258281,0.8554770128412984,1.2576485961820967,0.08794249082536922,0.5776622014745916,0.05395447340144752,0.724083484625598
chat_gpt_moth,0.2610657730963127,0.22463308916984445,0.5185958962895714,1.0014089158968882,1.9830205819548234,0.1385124020288338,0.5466925171420611,0.6044721036688321,0.9484309925957315
radekgpt4,0.2552538667629634,0.1647359290494251,0.28520611702898907,1.3584557764772958,0.8353286617636642,0.06310108772601981,0.6755248679916553,0.1721373365992268,0.8053533465839159
darragh_claude_v6,0.17479985289453692,0.16757299487545035,0.513620360809444,1.9672658914111287,1.0216969421976818,0.07505313702542726,0.5212590789401136,0.3390032494884456,0.9718141152900991
darragh_claude_v7,0.1756904445138381,0.1696695697305932,0.5175340511086131,1.9396642116950618,1.050010388368713,0.07368764194359222,0.5277053927147836,0.3274421701008751,0.9419574936323637
claude_sonnet_5_bedrock,0.16612648618294307,0.1426299996332214,0.29376367730675296,1.497393372279727,0.8923635046770201,0.08642579377900217,0.6751324398655754,0.15358733565924262,0.9475222354897227
gpt_5.6_terra_openai,0.10643177126537154,0.08646033826142296,0.276806711387057,1.4876325443645015,0.7970581234407493,0.06105021458070593,0.4527022056481552,0.007852205709964947,0.8132929782484045
