model,n,r2,r2_ci_low,r2_ci_high,rho,rho_ci_low,rho_ci_high
M0_word_count_only,19756,0.19354020455912113,0.0756591075304671,0.2760042167206653,0.7541891009658362,0.7468597595884167,0.7615754518230304
M1_word_count_plus_features,19756,0.35344076018756,0.29192784361348006,0.3965798232400847,0.6753107686544337,0.6668025215421669,0.6833647728897798
M2_features_only,19756,0.2603264338568554,0.24776310618756858,0.2713198569869808,0.5195893499431986,0.5090459001885337,0.5297927656077492
