holistic_essay_score,n,mean_residual_p_ai,median_residual_p_ai,mean_rank_percentile,mean_rank_percentile_ci_low,mean_rank_percentile_ci_high,skew_residual_p_ai,word_count_median
1,1024,0.06334721411113224,-0.07035118084103678,0.5210558485867012,0.5006614621517451,0.5416461577032876,1.204482064393873,249.0
2,5590,-0.00693191832891905,-0.11930826067800115,0.4396663823518289,0.43222237348904446,0.4471561221345504,1.7277652200322553,229.0
3,7965,-0.0019062584186246795,-0.10572899314608483,0.48069222016972996,0.47573364576110794,0.4860209626085122,1.790315875793533,327.0
4,6208,0.004893621314722428,-0.08927342298730502,0.5355549053142421,0.5300133456826189,0.5414540365579433,1.835842575173078,455.0
5,3066,-0.010185240884688595,-0.08746842535079258,0.5572982978981719,0.5505158386307306,0.5649799247199109,2.139012609960132,625.0
6,842,-0.011979130708001646,-0.08008566091884031,0.5868037606911928,0.5747968014460783,0.5979404748074987,2.455460743528833,824.0
