metric,value,ci_low,ci_high
overall_auc,0.9451478403857245,0.9431048552122219,0.9471985011889095
threshold_at_target_fpr,0.9402174737575464,,
overall_fpr,0.01000202470135655,,
overall_tpr,0.4132464600861892,,
fpr_ell,0.015597147950089126,,
fpr_non_ell,0.009442786512850207,,
gate2_composite_raw_rho,-0.012153213433607238,-0.02441104221243283,0.0010402090518858694
gate2_composite_partial_rho,0.1349832622756587,0.1227269601975168,0.14750764252375761
separation_effect_2auc_minus_1,0.890295680771449,,
quality_to_separation_ratio,0.1516162160403772,,
