subgroup,n,delta_rho,delta_rho_ci_low,delta_rho_ci_high
ELL,1795,-0.04646053112779758,-0.07523191091733702,-0.017243746162698175
non_ELL,17961,-0.08698278440820761,-0.09397779223652405,-0.08027405480652462
grade_6,1095,-0.03942626365819063,-0.08170623245544423,0.003166014740020342
grade_8,7623,-0.09346314184768734,-0.10454664225076529,-0.08249341026186355
grade_9,1663,-0.07285364272262451,-0.10095690963194141,-0.04580887979397428
grade_10,6607,-0.10701341966131672,-0.12004952803196642,-0.09311978414162414
grade_11,2444,-0.13335920727531925,-0.1557460643526539,-0.10797584404528841
grade_12,324,0.04448491581268188,-0.03860670686935509,0.12072492663383524
