feature,baseline_homoglyph_pair,after_homoglyph,baseline_zero_width_pair,after_zero_width_space
sentence_length_std,8.67179335547152,22.033308118997173,8.67179335547152,0.0
mean_sentence_length,35.0,74.66666666666667,35.0,1246.0
type_token_ratio,0.6190476190476191,0.18973214285714285,0.6190476190476191,0.020064205457463884
mtld,80.19550342130988,16.975961870864143,80.19550342130988,11.454084833277037
transition_phrase_rate,0.0,0.0,0.0,0.0
paragraph_length_variance,0.0,0.0,0.0,0.0
punctuation_variety,6.0,6.0,6.0,6.0
contraction_rate,0.0,0.0,0.0,0.0
function_word_entropy,3.750512370128879,0.0,3.750512370128879,0.9901931867014941
